UniProt_ID	UCSC_ID	Matched ratio
sp|A0A183|LCE6A_HUMAN	uc021ozj.1	100
sp|A0AUZ9|KAL1L_HUMAN	uc002vds.3	100
sp|A0AUZ9-2|KAL1L_HUMAN	uc002vdt.3	100
sp|A0AUZ9-3|KAL1L_HUMAN	uc002vdw.3	100
sp|A0AUZ9-4|KAL1L_HUMAN	uc002vdx.1	100
sp|A0AV02|S12A8_HUMAN	uc003ehv.4	99
sp|A0AV02-2|S12A8_HUMAN	uc003ehw.4	100
sp|A0AV02-3|S12A8_HUMAN	uc003eht.4	100
sp|A0AV96|RBM47_HUMAN	uc003gvc.2	100
sp|A0AV96-2|RBM47_HUMAN	uc003gvd.2	100
sp|A0AVF1|TTC26_HUMAN	uc003vus.2	100
sp|A0AVF1-2|TTC26_HUMAN	uc011kqn.1	100
sp|A0AVF1-3|TTC26_HUMAN	uc011kqo.1	100
sp|A0AVI2|FR1L5_HUMAN	uc010fia.3	100
sp|A0AVI2-3|FR1L5_HUMAN	uc002swr.2	100
sp|A0AVI4|TM129_HUMAN	uc003gdn.3	100
sp|A0AVI4-2|TM129_HUMAN	uc003gdm.3	100
sp|A0AVK6|E2F8_HUMAN	uc001mpn.5	100
sp|A0AVT1|UBA6_HUMAN	uc003hdg.4	100
sp|A0AVT1-3|UBA6_HUMAN	uc003hdi.3	100
sp|A0AVT1-4|UBA6_HUMAN	uc003hdj.2	100
sp|A0FGR8-2|ESYT2_HUMAN	uc003wob.1	100
sp|A0FGR9|ESYT3_HUMAN	uc003esk.3	100
sp|A0JLT2|MED19_HUMAN	uc001nla.1	99
sp|A0JLT2-2|MED19_HUMAN	uc001nlb.3	100
sp|A0JNW5|UH1BL_HUMAN	uc001tgq.3	100
sp|A0JNW5-2|UH1BL_HUMAN	uc001tgr.3	100
sp|A0MZ66|SHOT1_HUMAN	uc009xyw.4	100
sp|A0MZ66-2|SHOT1_HUMAN	uc001lcz.5	100
sp|A0MZ66-3|SHOT1_HUMAN	uc021pzk.1	100
sp|A0MZ66-4|SHOT1_HUMAN	uc010qsp.1	100
sp|A0MZ66-6|SHOT1_HUMAN	uc001lcy.5	100
sp|A0PG75|PLS5_HUMAN	uc010hvc.3	100
sp|A0PG75-2|PLS5_HUMAN	uc010hvb.3	100
sp|A0PJE2|DHR12_HUMAN	uc001vfq.4	100
sp|A0PJE2-2|DHR12_HUMAN	uc001vfr.2	100
sp|A0PJE2-3|DHR12_HUMAN	uc001vfs.2	100
sp|A0PJK1|SC5AA_HUMAN	uc002guu.2	100
sp|A0PJK1-2|SC5AA_HUMAN	uc002guv.2	100
sp|A0PJK1-3|SC5AA_HUMAN	uc002gur.2	100
sp|A0PJK1-4|SC5AA_HUMAN	uc002gut.2	100
sp|A0PJK1-5|SC5AA_HUMAN	uc010vyl.2	100
sp|A0PJW6|TM223_HUMAN	uc001nve.2	100
sp|A0PJW8|DAPL1_HUMAN	uc002uaf.3	100
sp|A0PJX0|CIB4_HUMAN	uc002rhm.3	100
sp|A0PJX2|TLDC2_HUMAN	uc002xgg.1	100
sp|A0PJX4|SHSA3_HUMAN	uc003gwp.3	100
sp|A0PJX8|TMM82_HUMAN	uc001axc.4	100
sp|A0PJY2|FEZF1_HUMAN	uc003vkd.3	100
sp|A0PJY2-2|FEZF1_HUMAN	uc003vkc.3	100
sp|A0PJY2-3|FEZF1_HUMAN	uc003vkd.3	99
sp|A0PJZ0|A20A5_HUMAN	uc010xag.2	100
sp|A0PJZ3|GXLT2_HUMAN	uc003dpg.3	100
sp|A0PK00|T120B_HUMAN	uc001ubc.4	100
sp|A0PK05|TMM72_HUMAN	uc001jbn.2	100
sp|A0PK05-2|TMM72_HUMAN	uc009xmm.1	100
sp|A0PK11|CLRN2_HUMAN	uc003gpg.1	100
sp|A1A4F0|CC055_HUMAN	uc003fbp.4	100
sp|A1A4F0-2|CC055_HUMAN	uc003fbo.3	100
sp|A1A4F0-3|CC055_HUMAN	uc011bot.2	100
sp|A1A4F0-4|CC055_HUMAN	uc010hvv.3	100
sp|A1A4G5|LNP1_HUMAN	uc003dtx.4	100
sp|A1A4S6|RHG10_HUMAN	uc003ilf.3	100
sp|A1A4T8-2|CN182_HUMAN	uc001wxi.1	100
sp|A1A4V9|CP093_HUMAN	uc002dzm.3	100
sp|A1A4V9-2|CP093_HUMAN	uc002dzo.4	100
sp|A1A4V9-4|CP093_HUMAN	uc002dzp.3	100
sp|A1A4Y4|IRGM_HUMAN	uc010jhk.3	100
sp|A1A519|F170A_HUMAN	uc003ksm.2	100
sp|A1A519-2|F170A_HUMAN	uc003ksn.3	100
sp|A1A519-3|F170A_HUMAN	uc003kso.3	100
sp|A1A580|KR231_HUMAN	uc002yny.1	100
sp|A1A5B4|ANO9_HUMAN	uc001lpi.2	99
sp|A1A5C7|S22AN_HUMAN	uc003mvm.3	100
sp|A1A5C7-2|S22AN_HUMAN	uc003mvo.3	100
sp|A1A5D9|BICR2_HUMAN	uc002ctf.4	100
sp|A1A5D9-2|BICR2_HUMAN	uc002cte.4	100
sp|A1E959|ODAM_HUMAN	uc003hfc.3	100
sp|A1IGU5|ARH37_HUMAN	uc003lra.1	100
sp|A1KXE4|F168B_HUMAN	uc002tsd.3	100
sp|A1KZ92|PXDNL_HUMAN	uc003xqu.4	99
sp|A1L020|MEX3A_HUMAN	uc001fnd.4	100
sp|A1L0T0|ILVBL_HUMAN	uc002nam.3	100
sp|A1L157|TSN11_HUMAN	uc001rjp.3	100
sp|A1L162|ERIC2_HUMAN	uc002ugg.3	100
sp|A1L167|U2QL1_HUMAN	uc003jdp.4	100
sp|A1L168|CT202_HUMAN	uc002wer.4	100
sp|A1L170-2|CA226_HUMAN	uc010pkt.1	100
sp|A1L188|CQ089_HUMAN	uc002jzx.2	100
sp|A1L190|SYCE3_HUMAN	uc010hbe.3	100
sp|A1L1A6|IGS23_HUMAN	uc021uvj.1	100
sp|A1L390|PKHG3_HUMAN	uc001xho.1	100
sp|A1L390-3|PKHG3_HUMAN	uc001xhn.1	100
sp|A1L3X0|ELOV7_HUMAN	uc010iwk.3	100
sp|A1L429|GG12C_HUMAN	uc004doh.4	100
sp|A1L443|NTM2F_HUMAN	uc004aup.1	100
